# Normalized warning identities: source path | warning code | message
# Generated on 2026-08-01 from commit 5caf809a4276a1a27d05a98451ec5df3d71a6842 (dirty tree).
src/Devices/NekoLib.Devices/Core/Abstractions/ControllerModel.cs|CS8618|Non-nullable field 'NewLine' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Devices/NekoLib.Devices/Core/Abstractions/ControllerModel.cs|CS8618|Non-nullable field 'Operation' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Devices/NekoLib.Devices/Core/Abstractions/ControllerModel.cs|CS8618|Non-nullable field 'PortName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Devices/NekoLib.Devices/Core/Abstractions/ControllerModel.cs|CS8618|Non-nullable field 'PrettyText' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Devices/NekoLib.Devices/Core/Abstractions/ControllerModel.cs|CS8618|Non-nullable field 'RawBytes' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Devices/NekoLib.Devices/Core/Abstractions/ControllerModel.cs|CS8618|Non-nullable field 'RawText' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Devices/NekoLib.Devices/Core/Abstractions/ControllerModel.cs|CS8618|Non-nullable field 'Request' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Devices/NekoLib.Devices/Core/Abstractions/ControllerModel.cs|CS8618|Non-nullable field 'Status' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Devices/NekoLib.Devices/Core/Engine/HardwareEngine.cs|CS8604|Possible null reference argument for parameter 'reply' in 'HardwareResponse IHardwareProtocol.ParseResponse(byte[] reply, HardwareOperation op)'.
src/Devices/NekoLib.Devices/Core/Engine/HardwareEngine.cs|CS8618|Non-nullable field '_log' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Devices/NekoLib.Devices/Core/Protocols/ProtocolRaw.cs|CS8600|Converting null literal or possible null value to non-nullable type.
src/Devices/NekoLib.Devices/Core/Protocols/ProtocolRaw.cs|CS8618|Non-nullable property 'Log' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
src/Devices/NekoLib.Devices/Core/Protocols/ProtocolRaw.cs|CS8618|Non-nullable property 'Template' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
src/Devices/NekoLib.Devices/Core/Protocols/ProtocolRaw.cs|CS8625|Cannot convert null literal to non-nullable reference type.
src/Devices/NekoLib.Devices/Core/Transport/SerialCommTransport.cs|CS8603|Possible null reference return.
src/Devices/NekoLib.Devices/Core/Transport/SerialCommTransport.cs|CS8618|Non-nullable property 'Log' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
src/Devices/NekoLib.Devices/Core/Transport/SerialCommTransport.cs|CS8625|Cannot convert null literal to non-nullable reference type.
src/Mvvm/NekoLib.Mvvm/RelayCommand.cs|CS8601|Possible null reference assignment.
src/Mvvm/NekoLib.Mvvm/RelayCommand.cs|CS8612|Nullability of reference types in type of 'event EventHandler RelayCommand.CanExecuteChanged' doesn't match implicitly implemented member 'event EventHandler? ICommand.CanExecuteChanged'.
src/Mvvm/NekoLib.Mvvm/RelayCommand.cs|CS8612|Nullability of reference types in type of 'event EventHandler RelayCommand<T>.CanExecuteChanged' doesn't match implicitly implemented member 'event EventHandler? ICommand.CanExecuteChanged'.
src/Mvvm/NekoLib.Mvvm/RelayCommand.cs|CS8618|Non-nullable event 'CanExecuteChanged' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the event as nullable.
src/Mvvm/NekoLib.Mvvm/RelayCommand.cs|CS8618|Non-nullable field '_canExecute' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Mvvm/NekoLib.Mvvm/RelayCommand.cs|CS8625|Cannot convert null literal to non-nullable reference type.
src/Mvvm/NekoLib.Mvvm/RelayCommand.cs|CS8767|Nullability of reference types in type of parameter 'parameter' of 'bool RelayCommand.CanExecute(object parameter)' doesn't match implicitly implemented member 'bool ICommand.CanExecute(object? parameter)' (possibly because of nullability attributes).
src/Mvvm/NekoLib.Mvvm/RelayCommand.cs|CS8767|Nullability of reference types in type of parameter 'parameter' of 'bool RelayCommand<T>.CanExecute(object parameter)' doesn't match implicitly implemented member 'bool ICommand.CanExecute(object? parameter)' (possibly because of nullability attributes).
src/Mvvm/NekoLib.Mvvm/RelayCommand.cs|CS8767|Nullability of reference types in type of parameter 'parameter' of 'void RelayCommand.Execute(object parameter)' doesn't match implicitly implemented member 'void ICommand.Execute(object? parameter)' (possibly because of nullability attributes).
src/Mvvm/NekoLib.Mvvm/RelayCommand.cs|CS8767|Nullability of reference types in type of parameter 'parameter' of 'void RelayCommand<T>.Execute(object parameter)' doesn't match implicitly implemented member 'void ICommand.Execute(object? parameter)' (possibly because of nullability attributes).
src/Mvvm/NekoLib.Mvvm/ViewModelBase.cs|CS8612|Nullability of reference types in type of 'event PropertyChangedEventHandler ViewModelBase.PropertyChanged' doesn't match implicitly implemented member 'event PropertyChangedEventHandler? INotifyPropertyChanged.PropertyChanged'.
src/Mvvm/NekoLib.Mvvm/ViewModelBase.cs|CS8618|Non-nullable event 'PropertyChanged' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the event as nullable.
src/Mvvm/NekoLib.Mvvm/ViewModelBase.cs|CS8625|Cannot convert null literal to non-nullable reference type.
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsFocusObserverAdapter.cs|CS8600|Converting null literal or possible null value to non-nullable type.
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsFocusObserverAdapter.cs|CS8604|Possible null reference argument for parameter 'deactivated' in 'Subscription.Subscription(Control control, EventHandler lost, Form form, EventHandler deactivated)'.
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsFocusObserverAdapter.cs|CS8604|Possible null reference argument for parameter 'form' in 'Subscription.Subscription(Control control, EventHandler lost, Form form, EventHandler deactivated)'.
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsFocusObserverAdapter.cs|CS8625|Cannot convert null literal to non-nullable reference type.
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsInteractionObserver.cs|CS8604|Possible null reference argument for parameter 'control' in 'void WinFormsInteractionObserver.Hook(Control control)'.
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsInteractionObserver.cs|CS8604|Possible null reference argument for parameter 'control' in 'void WinFormsInteractionObserver.UnhookTree(Control control)'.
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsInteractionObserver.cs|CS8618|Non-nullable event 'InteractionDetected' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the event as nullable.
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsInteractionObserver.cs|CS8622|Nullability of reference types in type of parameter 'sender' of 'void WinFormsInteractionObserver.OnControlAdded(object sender, ControlEventArgs e)' doesn't match the target delegate 'ControlEventHandler' (possibly because of nullability attributes).
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsInteractionObserver.cs|CS8622|Nullability of reference types in type of parameter 'sender' of 'void WinFormsInteractionObserver.OnControlRemoved(object sender, ControlEventArgs e)' doesn't match the target delegate 'ControlEventHandler' (possibly because of nullability attributes).
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsInteractionObserver.cs|CS8622|Nullability of reference types in type of parameter 'sender' of 'void WinFormsInteractionObserver.OnInteraction(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsInteractionObserver.cs|CS8622|Nullability of reference types in type of parameter 'sender' of 'void WinFormsInteractionObserver.OnInteraction(object sender, EventArgs e)' doesn't match the target delegate 'KeyEventHandler' (possibly because of nullability attributes).
